,velocity,circularity,xposition
145,"(-9.504560530680095, 1.9537728026533863)",0.8213178992573736,403.20729684908787
146,"(-10.153747800437785, -0.4339387667261718)",0.8563442102224633,401.5826972010178
147,"(-7.813758678890892, -0.42011904305239156)",0.8131455888436613,400.3324958123953
148,"(-10.400989387203197, 2.1770559144930424)",0.8181515157953544,398.66833751044277
149,"(-8.003136296507662, 0.20146881817497686)",0.8268730187017616,397.38783570300154
150,"(-9.12253773706091, 0.10350763811732833)",0.8290525601505606,395.9282296650718
151,"(-7.999676813573586, -0.5933172122588815)",0.7777440945563394,394.6482813749
152,"(-8.095296812195585, 1.700448152116607)",0.8317824035629914,393.35303388494873
153,"(-8.022230711452849, 0.07761417553879824)",0.8911214939105524,392.0694769711163
154,"(-6.530621238447765, 1.3600608143838677)",0.8607866330848881,391.02457757296463
155,"(-9.660035064673878, -1.31532904087166)",0.8488863534555979,389.4789719626168
156,"(-7.109315507095815, 0.9615784008308204)",0.8925206911652953,388.3414814814815
157,"(-10.0248260004971, -0.28020134228192717)",0.8684004995529572,386.73750932140194
158,"(-7.631935165703396, 1.2613861884553046)",0.8489731881940314,385.5163996948894
159,"(-10.398699907117859, -0.8317139467025392)",0.8323187065557087,383.85260770975054
160,"(-6.542168149310967, 1.5242165242165484)",0.834603215017448,382.8058608058608
161,"(-9.175763663649406, 0.6704143873746737)",0.8496926919302585,381.3377386196769
162,"(-9.409619207447761, 1.0272133816816797)",0.8567441062333362,379.83219954648524
163,"(-9.446617535903457, 1.6333144368857688)",0.89252069872668,378.3207407407407
164,"(-8.140734413228401, -0.18673542563059087)",0.8782595303255427,377.01822323462414
165,"(-9.8314878089937, 1.5524761663713527)",0.8564933063642094,375.44518518518515
166,"(-8.966419473772191, -0.39211496564437454)",0.8660613134269636,374.0105580693816
167,"(-8.884152296154468, 1.335940703824967)",0.8359960983286626,372.5890937019969
168,"(-9.548693875028746, 2.251895845471985)",0.87025716188219,371.0613026819923
169,"(-10.432445706767268, 0.8291774453067724)",0.8373168092577479,369.3921113689095
170,"(-10.37031780509352, 2.212689623522923)",0.7983465012558557,367.73286052009456
171,"(-11.55437352245876, 1.1130811662726892)",0.8217749728207769,365.88416075650116
172,"(-8.356103662683267, 1.6923920787590419)",0.8582236617086864,364.54718417047184
173,"(-11.684445090606488, 1.8754173128284535)",0.8556438990934963,362.6776729559748
174,"(-10.74172021174462, 1.6852708951160977)",0.8285440048494579,360.95899772209566
175,"(-12.615759572621599, 0.3502842860758193)",0.8330193188115681,358.9404761904762
176,"(-13.83982358003486, 1.3948054121248)",0.8553464986174246,356.7261044176706
177,"(-16.71279576745235, 0.6417609986544726)",0.8040510455026935,354.05205709487825
178,"(-16.565641817082266, 1.1982545037696468)",0.7139444779923716,351.4015544041451
179,"(-16.434835798853697, 2.119518284899069)",0.8003817539405441,348.7719806763285
180,"(-27.41841664201914, -11.021147589470637)",0.8568921674338017,344.38503401360543
